product_id,gender,category,sub_category,product_type,colour,usage,title,image_url,image_path
42419,girls,apparel,topwear,tops,white,casual,Gini and Jony Girls Knit White Top,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg,data/images/42419.jpg
34009,girls,apparel,topwear,tops,black,casual,Gini and Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg,data/images/34009.jpg
40143,girls,apparel,topwear,tops,blue,casual,Gini and Jony Girls Pretty Blossom Blue Top,http://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg,data/images/40143.jpg
23623,girls,apparel,topwear,tops,pink,casual,Doodle Kids Girls Pink I love Shopping Top,http://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg,data/images/23623.jpg
47154,girls,apparel,bottomwear,capris,black,casual,Gini and Jony Girls Black Capris,http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg,data/images/47154.jpg
25520,girls,apparel,topwear,tops,white,casual,Doodle Kids Girls City Chic White Top,http://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg,data/images/25520.jpg
31120,girls,apparel,topwear,tops,pink,casual,Palm Tree Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg,data/images/31120.jpg
31118,girls,apparel,topwear,tops,red,casual,Gini and Jony Girls Red Top,http://assets.myntassets.com/v1/images/style/properties/1e3b40d501f5fbbceeab3879db474932_images.jpg,data/images/31118.jpg
54923,girls,apparel,bottomwear,capris,olive,casual,Do u speak Green Girls Olive 3/4 Pant,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Green-Girls-Olive-34-Pant_62311570aeebd7385030de554584a065_images.jpg,data/images/54923.jpg
31127,girls,apparel,dress,dresses,black,casual,Gini and Jony Girls Black Dress,http://assets.myntassets.com/v1/images/style/properties/1f7c87ee0ac12c35df8c1dd28e2cd692_images.jpg,data/images/31127.jpg
47153,girls,apparel,bottomwear,capris,pink,casual,Gini and Jony Girls Pink Capris,http://assets.myntassets.com/v1/images/style/properties/87321ab7962a30b2e9b01fa16997029c_images.jpg,data/images/47153.jpg
40144,girls,apparel,topwear,tops,pink,casual,Gini and Jony Girls Pretty Blossom Pink Top,http://assets.myntassets.com/v1/images/style/properties/1397081a5a637d539b0197aae4a6855e_images.jpg,data/images/40144.jpg
23624,girls,apparel,topwear,tops,white,casual,Doodle Kids Girls White I love Shopping Top,http://assets.myntassets.com/v1/images/style/properties/5ab7fb83e0891f3453746c9a073e3ec6_images.jpg,data/images/23624.jpg
34693,girls,apparel,bottomwear,shorts,pink,casual,Allen Solly Kids Girls Poplin Pink Shorts,http://assets.myntassets.com/v1/images/style/properties/c8c6fd3233823726f484da6b7007f016_images.jpg,data/images/34693.jpg
4718,girls,apparel,topwear,tshirts,yellow,casual,Disney Kids Girl's Summer Fun Fair Yellow Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/1109685531795f17aca2acaba2ab39ad_images.jpg,data/images/4718.jpg
36750,girls,apparel,dress,dresses,navy blue,casual,Little Miss Girls Chatterbox Navy Blue Dress,http://assets.myntassets.com/v1/images/style/properties/0d3b2725d327a275c52c6f999e3982eb_images.jpg,data/images/36750.jpg
34007,girls,apparel,topwear,tops,pink,casual,Gini and Jony Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/6e0a7cc4e1d472f99d820275fe5f7679_images.jpg,data/images/34007.jpg
31129,girls,apparel,dress,dresses,magenta,casual,Giny and Jony Girls Printed White & Pink Dress,http://assets.myntassets.com/v1/images/style/properties/3a4faa7c017c3ea1e8df9c887b929d50_images.jpg,data/images/31129.jpg
4720,girls,apparel,topwear,tshirts,yellow,casual,Disney Kids Girl's Fun In The Fair Yellow Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/4c35804275294e78210e4dcf86686652_images.jpg,data/images/4720.jpg
17612,girls,apparel,topwear,tshirts,grey,casual,Doodle Cute Girls  Grey Tshirt,http://assets.myntassets.com/v1/images/style/properties/7fc0dc0e751be847d706620fdd3802f7_images.jpg,data/images/17612.jpg
50723,girls,apparel,dress,dresses,blue,casual,Doodle Girls Blue Printed Dress,http://assets.myntassets.com/v1/images/style/properties/9fa6bd6c5b841804bdee04460ee934de_images.jpg,data/images/50723.jpg
33271,girls,apparel,bottomwear,skirts,red,casual,Gini and Jony Girls Red Skirt,http://assets.myntassets.com/v1/images/style/properties/87725859164f90b1c366659f2f381238_images.jpg,data/images/33271.jpg
41007,girls,apparel,bottomwear,shorts,navy blue,casual,Gini and Jony Girls Woven Navy Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/7195b148c3b6b41cf4ad730cbe7abbcb_images.jpg,data/images/41007.jpg
46813,girls,apparel,bottomwear,skirts,pink,casual,Gini and Jony Girls Pink Skirt,http://assets.myntassets.com/v1/images/style/properties/167c8880c4c77718ac8e2ecdf57e619c_images.jpg,data/images/46813.jpg
41000,girls,apparel,bottomwear,shorts,blue,casual,Gini and Jony Girls Woven Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/4882420c3607228a30540b5b99aba1d4_images.jpg,data/images/41000.jpg
8378,girls,apparel,topwear,tshirts,green,casual,Doodle Girl's Princess Lime Kidswear,http://assets.myntassets.com/v1/images/style/properties/3877b9da648c16c969b043643426be71_images.jpg,data/images/8378.jpg
39328,girls,apparel,bottomwear,shorts,green,casual,Gini and Jony Girls Green Shorts,http://assets.myntassets.com/v1/images/style/properties/7ed1ca17fdfdefdd6320156fe7ea7292_images.jpg,data/images/39328.jpg
50724,girls,apparel,dress,dresses,blue,casual,Doodle Girls Blue Washed Dress,http://assets.myntassets.com/v1/images/style/properties/8f184224331047aa5fc5b0041b04dc53_images.jpg,data/images/50724.jpg
46814,girls,apparel,bottomwear,skirts,pink,casual,Gini and Jony Girls Pink Skirt,http://assets.myntassets.com/v1/images/style/properties/4e26ee06c517e6f227ca6af3653f0f6b_images.jpg,data/images/46814.jpg
